,artist_no,artist_name,artist_uri,last_played_date
67,68,Holy Holy,spotify:artist:5KeQyt1QJBjcutJ2AuLNO2,1/1/1900
68,69,Yeah Yeah Yeahs,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,1/1/1900
69,70,Maggie Rogers,spotify:artist:4NZvixzsSefsNiIqXn0NDe,1/1/1900
70,71,Big Scary,spotify:artist:4mLYW48jy9Pwv6KpT74Evf,1/1/1900
71,72,Jagwar Ma,spotify:artist:6fEO1r9Y9TYL9O4w5kVPmc,1/1/1900
72,73,Boy & Bear,spotify:artist:2NqgE99Ll5vOTvmbN7O2R6,1/1/1900
73,74,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH,27/03/2021
74,75,Vera Blue,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,1/1/1900
75,76,British India,spotify:artist:7FbzGvWpjaY6o3AkdWoZVO,27/03/2021
76,77,Jungle,spotify:artist:59oA5WbbQvomJz2BuRG071,27/03/2021
77,78,Crowded House,spotify:artist:7ohlPA8dRBtCf92zaZCaaB,1/1/1900
78,79,Friendly Fires,spotify:artist:3mZqziCJj4pq3P2VBpmK6p,1/1/1900
79,80,Lykke Li,spotify:artist:6oBm8HB0yfrIc9IHbxs6in,1/1/1900
80,81,Phantogram,spotify:artist:1l9d7B8W0IHy3LqWsxP2SH,1/1/1900
81,82,Peter Bjorn and John,spotify:artist:6u11Qbko2N2hP4lTBYjX86,1/1/1900
82,83,The Wombat,spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,1/1/1900
83,84,Hot Chip,spotify:artist:37uLId6Z5ZXCx19vuruvv5,1/1/1900
84,85,Superorganism,spotify:artist:0Wkm45quqfx3NepJpXDvwE,1/1/1900
85,86,The Postal Service,spotify:artist:5yV1qdnmxyIYiSFB02wpDj,27/03/2021
86,87,Ocean Alley,spotify:artist:18lpwfiys4GtdHWNUu9qQr,1/1/1900
87,88,The Temper Trap,spotify:artist:4W48hZAnAHVOC2c8WH8pcq,1/1/1900
88,89,Yeasayer,spotify:artist:04HvbIwBccFmRie5ATX4ft,1/1/1900
89,90,Santigold,spotify:artist:6Jrxnp0JgqmeUX1veU591p,1/1/1900
90,91,Pond,spotify:artist:4skJp5OKvcc9eKokiuhi2s,1/1/1900
91,92,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,1/1/1900
92,93,Death Cab for Cutie,spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,1/1/1900
93,94,Airling,spotify:artist:3lLU3ZhM8s8PlYv9Z0VlAw,27/03/2021
94,95,The Delta Riggs,spotify:artist:1wWcqWYBaZeSYC0aAfh3qy,1/1/1900
95,96,Kasabian,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,1/1/1900
96,97,Foster the People,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,1/1/1900
97,98,Bombay Bicycle Club,spotify:artist:3pTE9iaJTkWns3mxpNQlJV,1/1/1900
98,99,Methyl Ethel,spotify:artist:3I3Fz1DeUY0icXFvOjbXm7,1/1/1900
99,100,What So Not,spotify:artist:4AA8eXtzqh5ykxtafLaPOi,1/1/1900
100,101,A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,1/1/1900
101,102,Miike Snow,spotify:artist:4l1cKWYW591xnwEGxpUg3J,1/1/1900
102,103,Broods,spotify:artist:5r5Va4lVQ1zjEfbJSrmCsS,1/1/1900
103,104,Kingswood,spotify:artist:4zOw0E0NA7B4lIYyc3XNt5,1/1/1900
104,105,Band of Skulls,spotify:artist:4ddt8PPvmWrI9mJQy1VrIG,1/1/1900
105,106,The Saboteurs,spotify:artist:4v6SkSiozHCZkpB9XhcK4o,1/1/1900
106,107,SAFIA,spotify:artist:1y07gMlsfAdz2KOvZzyUTB,1/1/1900
107,108,Boo Seeka,spotify:artist:1SFz3S9eSUTc49ysstadiO,1/1/1900
108,109,Meg Mac,spotify:artist:4faUajx9k93O56nlmpkOuz,1/1/1900
109,110,James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,1/1/1900
110,111,Jamie xx,spotify:artist:7A0awCXkE1FtSU8B0qwOJQ,1/1/1900
111,112,Children Collide,spotify:artist:05STafdfQBBQIV9duONwod,1/1/1900
112,113,Cage the Elephant,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,1/1/1900
113,114,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,1/1/1900
114,115,Rudimental,spotify:artist:4WN5naL3ofxrVBgFpguzKo,1/1/1900
115,116,DZ Deathrays,spotify:artist:0qGPycvPHafmEPTOm4M7Tu,1/1/1900
116,117,Tourist,spotify:artist:2ABBMkcUeM9hdpimo86mo6,1/1/1900
117,118,Van She,spotify:artist:4FTDSkWpchgZy2axPEGDJW,1/1/1900
118,119,The National,spotify:artist:2cCUtGK9sDU2EoElnk0GNB,1/1/1900
119,120,Sufjan Stevens,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,1/1/1900
120,121,The Naked and Famous,spotify:artist:0oeUpvxWsC8bWS6SnpU8b9,1/1/1900
121,122,The Rubens,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,1/1/1900
122,123,Joy Division,spotify:artist:432R46LaYsJZV2Gmc4jUV5,1/1/1900
123,124,Ratatat,spotify:artist:57dN52uHvrHOxijzpIgu3E,1/1/1900
124,125,Courtney Barnett,spotify:artist:4OOlG5eBXSkSAAEeKjJb5Y,1/1/1900
125,126,Unknown Mortal Orchestra,spotify:artist:1LeVJ5GPeYDOVUjxx1y7Rp,1/1/1900
126,127,Deerhunter,spotify:artist:38zTZcuN7nFvVJ6auhc6V3,1/1/1900
127,128,Vallis Alps,spotify:artist:7qhWa7UI1QNZNDnzYwAYZm,1/1/1900
128,129,Cold War Kids,spotify:artist:6VDdCwrBM4qQaGxoAyxyJC,1/1/1900
129,130,Alison Wonderland,spotify:artist:11gWrKZMBsGQWmobv3oNfW,1/1/1900
130,131,DOPE LEMON,spotify:artist:7oZLKL1GjYiaAgssXsLmW8,1/1/1900
131,132,Eves Karydas,spotify:artist:7MbSdIkdgkwmVxObpCg87e,1/1/1900
132,133,Alice Ivy,spotify:artist:5hJy2vZbK50JNuVK6pvVR2,1/1/1900
133,134,Bag Raiders,spotify:artist:6fXEqmGQEt6ONuqVmwrN46,1/1/1900
134,135,The Big Moon,spotify:artist:0KU55rzxAihPhi27MAuz9O,1/1/1900
135,136,The Black Keys,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,1/1/1900
136,137,The Drums,spotify:artist:0p5axeJsbtTCXBrRVoKjwu,1/1/1900
137,138,Empire of the Sun,spotify:artist:67hb7towEyKvt5Z8Bx306c,1/1/1900
138,139,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,1/1/1900
139,140,Hatchie,spotify:artist:3d7MqowTZa2bC5iy1JXLLt,1/1/1900
140,141,Hayden James,spotify:artist:4csQIMQm6vI2A2SCVDuM2z,1/1/1900
141,142,The Horrors,spotify:artist:7EFB09NxZrMi9pGlOnuBpd,1/1/1900
142,143,The Internet,spotify:artist:7GN9PivdemQRKjDt4z5Zv8,1/1/1900
143,144,J Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,1/1/1900
144,145,Jorja Smith,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd,1/1/1900
145,146,Joywave,spotify:artist:1UfzhwcOR4yfX7yHTPfC9m,1/1/1900
146,147,Kaytranada,spotify:artist:6qgnBH6iDM91ipVXv28OMu,1/1/1900
147,148,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,1/1/1900
148,149,Kiiara,spotify:artist:4u5smJBskI6Adzv08PuiUP,1/1/1900
149,150,Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,1/1/1900
150,151,LCD Sound System,spotify:artist:066X20Nz7iquqkkCW6Jxy6,1/1/1900
151,152,Mac Demarco,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM,27/03/2021
152,153,Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U,1/1/1900
153,154,Metronomy,spotify:artist:54QMjE4toDfiCryzYWCpXX,1/1/1900
154,155,MS MR,spotify:artist:4XaUmUGjidSklcDHxv3XWf,1/1/1900
155,156,New Order,spotify:artist:0yNLKJebCb8Aueb54LYya3,1/1/1900
156,157,Northeast Party House,spotify:artist:500YRyClzP6Z7HtWd1BIje,1/1/1900
157,158,Parquet Courts,spotify:artist:23NIwARd4vPbxt3wwNnJ6k,1/1/1900
158,159,Phoenix,spotify:artist:1xU878Z1QtBldR7ru9owdU,1/1/1900
159,160,Polo & Pan,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,1/1/1900
160,161,Run the Jewels,spotify:artist:4RnBFZRiMLRyZy0AzzTg2C,1/1/1900
161,162,Stain Jackets,spotify:artist:5Gn7NoCZvbVlGgtZMILRcv,1/1/1900
162,163,Sjowgren,spotify:artist:32Ko3nL0210QAt14S3Rs4Y,1/1/1900
163,164,Spacey Jane,spotify:artist:6V70yeZQCoSR2M3fyW8qiA,1/1/1900
164,165,Spoon,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,1/1/1900
165,166,St Lucia,spotify:artist:5WId4o5jdGVhptNU0uqKxu,1/1/1900
166,167,STRFKR,spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU,1/1/1900
167,168,SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1/1/1900
168,169,Tears for Fears,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,1/1/1900
169,170,Vince Staples,spotify:artist:68kEuyFKyqrdQQLLsmiatm,1/1/1900
170,171,Washed Out,spotify:artist:5juOkIIy18sFw9L30syt1Z,1/1/1900
171,172,Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,1/1/1900
172,173,Phoebe Bridgers,spotify:artist:1r1uxoy19fzMxunt3ONAkG,1/1/1900
173,174,Modest Mouse,spotify:artist:1yAwtBaoHLEDWAnWR87hBT,1/1/1900
174,175,Sofi Tukker,spotify:artist:586uxXMyD5ObPuzjtrzO1Q,1/1/1900
175,176,Wavves,spotify:artist:6bUJpbekaIlq2fT5FMV2mQ,1/1/1900
176,177,Purity Ring,spotify:artist:1TtJ8j22Roc24e2Jx3OcU4,1/1/1900
